Run,Time
1,"501.826,00"
2,"571.843,00"
3,"574.024,00"
4,"608.957,00"
5,"602.902,00"
6,"648.168,00"
7,"592.955,00"
8,"669.270,00"
9,"388.582,00"
10,"391.726,00"
11,"573.895,00"
12,"471.821,00"
13,"646.268,00"
14,"384.565,00"
15,"560.815,00"
16,"587.929,00"
17,"514.742,00"
18,NaN
19,"449.874,00"
20,"617.970,00"
21,"399.604,00"
22,"569.924,00"
23,"750.273,00"
24,"558.888,00"
25,"616.992,00"
26,"403.530,00"
27,"592.141,00"
28,"593.911,00"
29,"402.669,00"
30,"453.801,00"
31,"649.021,00"
32,"525.806,00"
33,"681.063,00"
34,"404.524,00"
35,"567.934,00"
36,"664.083,00"
37,"434.829,00"
38,"662.257,00"
39,"584.980,00"
40,"638.038,00"
41,"606.983,00"
42,"629.052,00"
43,"703.166,00"
44,"633.955,00"
45,"419.666,00"
46,"617.033,00"
47,"641.250,00"
48,"644.471,00"
49,"688.111,00"
50,"629.044,00"
,
Mean,"650.719,00"
Median,"641.250,00"
