Run,Time
1,"98.633,00"
2,"100.524,00"
3,"98.574,00"
4,"98.351,00"
5,"103.914,00"
6,"99.879,00"
7,"100.853,00"
8,"98.358,00"
9,"98.286,00"
10,"98.919,00"
11,"98.364,00"
12,"98.641,00"
13,"98.077,00"
14,"98.066,00"
15,"98.234,00"
16,"98.083,00"
17,"102.589,00"
18,"98.478,00"
19,"98.341,00"
20,"98.586,00"
21,"98.617,00"
22,"100.545,00"
23,"98.704,00"
24,"98.226,00"
25,"99.926,00"
26,"98.618,00"
27,"98.361,00"
28,"98.665,00"
29,"98.462,00"
30,"98.611,00"
31,"98.318,00"
32,"98.349,00"
33,"98.054,00"
34,"103.378,00"
35,"98.321,00"
36,"98.234,00"
37,"98.437,00"
38,"98.557,00"
39,"98.124,00"
40,"98.895,00"
41,"98.504,00"
42,"98.582,00"
43,"98.493,00"
44,"98.443,00"
45,"98.787,00"
46,"104.369,00"
47,"98.426,00"
48,"98.913,00"
49,"99.855,00"
50,"98.438,00"
,
Mean,"99.079,24"
Median,"98.530,50"
